artifact_id,artifact_type,name,source_path,migration_status,migration_percent,next_action
py-function-portfolio-input-normalizer-parse-pasted-text-draft-positions,PY_FUNCTION,portfolio_input_normalizer.parse_pasted_text_draft_positions,mvp_qaic_py/portfolio_input_normalizer.py,RUNTIME_SMOKED,75,KEEP_TRACKING
py-function-portfolio-input-normalizer-render-portfolio-review-markdown,PY_FUNCTION,portfolio_input_normalizer.render_portfolio_review_markdown,mvp_qaic_py/portfolio_input_normalizer.py,RUNTIME_SMOKED,75,KEEP_TRACKING
py-function-portfolio-input-normalizer-write-json,PY_FUNCTION,portfolio_input_normalizer.write_json,mvp_qaic_py/portfolio_input_normalizer.py,RUNTIME_SMOKED,75,KEEP_TRACKING
py-function-prompt-image-capture-human-review-build-image-input-contract,PY_FUNCTION,prompt_image_capture_human_review.build_image_input_contract,mvp_qaic_py/prompt_image_capture_human_review.py,RUNTIME_SMOKED,75,KEEP_TRACKING
py-function-prompt-image-capture-human-review-main,PY_FUNCTION,prompt_image_capture_human_review.main,mvp_qaic_py/prompt_image_capture_human_review.py,RUNTIME_SMOKED,75,KEEP_TRACKING
py-function-prompt-image-capture-human-review-parse-args,PY_FUNCTION,prompt_image_capture_human_review.parse_args,mvp_qaic_py/prompt_image_capture_human_review.py,RUNTIME_SMOKED,75,KEEP_TRACKING
py-function-prompt-image-capture-human-review-write-prompt-image-capture-pack,PY_FUNCTION,prompt_image_capture_human_review.write_prompt_image_capture_pack,mvp_qaic_py/prompt_image_capture_human_review.py,RUNTIME_SMOKED,75,KEEP_TRACKING
py-function-prompt-webapp-benchmark-public-build-image-capture-portfolio-reference,PY_FUNCTION,prompt_webapp_benchmark_public.build_image_capture_portfolio_reference,mvp_qaic_py/prompt_webapp_benchmark_public.py,RUNTIME_SMOKED,75,KEEP_TRACKING
py-function-prompt-webapp-benchmark-public-build-mvp-public-prompt-payload,PY_FUNCTION,prompt_webapp_benchmark_public.build_mvp_public_prompt_payload,mvp_qaic_py/prompt_webapp_benchmark_public.py,RUNTIME_SMOKED,75,KEEP_TRACKING
py-function-prompt-webapp-benchmark-public-build-portfolio-context,PY_FUNCTION,prompt_webapp_benchmark_public.build_portfolio_context,mvp_qaic_py/prompt_webapp_benchmark_public.py,RUNTIME_SMOKED,75,KEEP_TRACKING
py-function-prompt-webapp-benchmark-public-normalize-structured-portfolio,PY_FUNCTION,prompt_webapp_benchmark_public.normalize_structured_portfolio,mvp_qaic_py/prompt_webapp_benchmark_public.py,RUNTIME_SMOKED,75,KEEP_TRACKING
py-function-prompt-webapp-benchmark-public-parse-pasted-portfolio-text,PY_FUNCTION,prompt_webapp_benchmark_public.parse_pasted_portfolio_text,mvp_qaic_py/prompt_webapp_benchmark_public.py,RUNTIME_SMOKED,75,KEEP_TRACKING
py-function-prompt-webapp-benchmark-public-score-prompt-quality,PY_FUNCTION,prompt_webapp_benchmark_public.score_prompt_quality,mvp_qaic_py/prompt_webapp_benchmark_public.py,RUNTIME_SMOKED,75,KEEP_TRACKING
py-function-prompt-webapp-benchmark-public-summarize-for-webapp,PY_FUNCTION,prompt_webapp_benchmark_public.summarize_for_webapp,mvp_qaic_py/prompt_webapp_benchmark_public.py,RUNTIME_SMOKED,75,KEEP_TRACKING
py-function-prompt-webapp-benchmark-public-to-dict,PY_FUNCTION,prompt_webapp_benchmark_public.to_dict,mvp_qaic_py/prompt_webapp_benchmark_public.py,RUNTIME_SMOKED,75,KEEP_TRACKING
py-module-p173-nicegui-private-local-runner,PY_MODULE,p173_nicegui_private_local_runner,mvp_qaic_py/p173_nicegui_private_local_runner.py,SEALED,100,KEEP_OR_EXTEND
py-module-p180-private-cockpit-real-ui-polish,PY_MODULE,p180_private_cockpit_real_ui_polish,mvp_qaic_py/p180_private_cockpit_real_ui_polish.py,SEALED,100,KEEP_OR_EXTEND
py-module-p181abc-operator-ui-prompt-capture-sessions,PY_MODULE,p181abc_operator_ui_prompt_capture_sessions,mvp_qaic_py/p181abc_operator_ui_prompt_capture_sessions.py,SEALED,100,KEEP_OR_EXTEND
py-module-p184-real-gem-session-review-response-parser,PY_MODULE,p184_real_gem_session_review_response_parser,mvp_qaic_py/p184_real_gem_session_review_response_parser.py,SEALED,100,KEEP_OR_EXTEND
py-module-p185-real-operator-capture-response-ui-roundtrip,PY_MODULE,p185_real_operator_capture_response_ui_roundtrip,mvp_qaic_py/p185_real_operator_capture_response_ui_roundtrip.py,SEALED,100,KEEP_OR_EXTEND
py-module-p188-real-case-ui-operator-decision-gate,PY_MODULE,p188_real_case_ui_operator_decision_gate,mvp_qaic_py/p188_real_case_ui_operator_decision_gate.py,SEALED,100,KEEP_OR_EXTEND
py-module-p190r-runtime-migration-tracker-live-readonly,PY_MODULE,p190r_runtime_migration_tracker_live_readonly,mvp_qaic_py/p190r_runtime_migration_tracker_live_readonly.py,SEALED,95,KEEP_OR_EXTEND
py-module-p136-p133-real-response-file-import,PY_MODULE,p136_p133_real_response_file_import,mvp_qaic_py/p136_p133_real_response_file_import.py,RUNTIME_SMOKED,90,KEEP_OR_EXTEND
py-module-p137-prompt-corrections-apply-queue,PY_MODULE,p137_prompt_corrections_apply_queue,mvp_qaic_py/p137_prompt_corrections_apply_queue.py,RUNTIME_SMOKED,90,KEEP_OR_EXTEND
py-module-p138a-sheets-prompt-base-migration-candidate,PY_MODULE,p138a_sheets_prompt_base_migration_candidate,mvp_qaic_py/p138a_sheets_prompt_base_migration_candidate.py,RUNTIME_SMOKED,90,KEEP_OR_EXTEND
py-module-p138b3-write-readiness-triage,PY_MODULE,p138b3_write_readiness_triage,mvp_qaic_py/p138b3_write_readiness_triage.py,RUNTIME_SMOKED,90,KEEP_OR_EXTEND
py-module-p138b-validate-migration-candidates,PY_MODULE,p138b_validate_migration_candidates,mvp_qaic_py/p138b_validate_migration_candidates.py,RUNTIME_SMOKED,90,KEEP_OR_EXTEND
py-module-p138c-safe-partial-sheets-write,PY_MODULE,p138c_safe_partial_sheets_write,mvp_qaic_py/p138c_safe_partial_sheets_write.py,RUNTIME_SMOKED,90,KEEP_OR_EXTEND
py-module-p139-nicegui-historical-cockpit-metadata,PY_MODULE,p139_nicegui_historical_cockpit_metadata,mvp_qaic_py/p139_nicegui_historical_cockpit_metadata.py,RUNTIME_SMOKED,90,KEEP_OR_EXTEND
py-module-p140-nicegui-cockpit-replica-renderer,PY_MODULE,p140_nicegui_cockpit_replica_renderer,mvp_qaic_py/p140_nicegui_cockpit_replica_renderer.py,RUNTIME_SMOKED,90,KEEP_OR_EXTEND
py-module-p141-nicegui-cockpit-replica-local-launch,PY_MODULE,p141_nicegui_cockpit_replica_local_launch,mvp_qaic_py/p141_nicegui_cockpit_replica_local_launch.py,RUNTIME_SMOKED,90,KEEP_OR_EXTEND
py-module-p142-ui-fidelity-shell,PY_MODULE,p142_ui_fidelity_shell,mvp_qaic_py/p142_ui_fidelity_shell.py,RUNTIME_SMOKED,90,KEEP_OR_EXTEND
py-module-p143-data-preview-binding-local-readonly,PY_MODULE,p143_data_preview_binding_local_readonly,mvp_qaic_py/p143_data_preview_binding_local_readonly.py,RUNTIME_SMOKED,90,KEEP_OR_EXTEND
py-module-p143b-data-preview-source-expansion,PY_MODULE,p143b_data_preview_source_expansion,mvp_qaic_py/p143b_data_preview_source_expansion.py,RUNTIME_SMOKED,90,KEEP_OR_EXTEND
py-module-p144-prompt-cockpit-workflows,PY_MODULE,p144_prompt_cockpit_workflows,mvp_qaic_py/p144_prompt_cockpit_workflows.py,RUNTIME_SMOKED,90,KEEP_OR_EXTEND
py-module-p145-gem-response-import-e2e,PY_MODULE,p145_gem_response_import_e2e,mvp_qaic_py/p145_gem_response_import_e2e.py,RUNTIME_SMOKED,90,KEEP_OR_EXTEND
py-module-p146-correction-queue-ui,PY_MODULE,p146_correction_queue_ui,mvp_qaic_py/p146_correction_queue_ui.py,RUNTIME_SMOKED,90,KEEP_OR_EXTEND
py-module-p147-operator-polish,PY_MODULE,p147_operator_polish,mvp_qaic_py/p147_operator_polish.py,RUNTIME_SMOKED,90,KEEP_OR_EXTEND
py-module-p148-sync-strategy-readonly,PY_MODULE,p148_sync_strategy_readonly,mvp_qaic_py/p148_sync_strategy_readonly.py,RUNTIME_SMOKED,90,KEEP_OR_EXTEND
