record_type,script_file_name,module_family,function_name,function_visibility,functional_role,migration_priority,evidence_text
FUNCTION_INDEX,mvpqaic_42_response_intake_consolidation_audit_core.js,AUDIT_INVENTORY,MVPQAIC_P4O_OpenAudit,PUBLIC,AUDIT_REGISTRY,P1,AUDIT_INVENTORY mvpqaic_42_response_intake_consolidation_audit_core.js MVPQAIC_P4O_OpenAudit function_line 246
FUNCTION_INDEX,mvpqaic_42_response_intake_consolidation_audit_core.js,AUDIT_INVENTORY,MVPQAIC_P4O_OpenPlan,PUBLIC,AUDIT_REGISTRY,P1,AUDIT_INVENTORY mvpqaic_42_response_intake_consolidation_audit_core.js MVPQAIC_P4O_OpenPlan function_line 250
FUNCTION_INDEX,mvpqaic_42_response_intake_consolidation_audit_core.js,AUDIT_INVENTORY,MVPQAIC_P4O_Run,PUBLIC,AUDIT_REGISTRY,P1,AUDIT_INVENTORY mvpqaic_42_response_intake_consolidation_audit_core.js MVPQAIC_P4O_Run function_line 254
FUNCTION_INDEX,mvpqaic_42_response_intake_consolidation_audit_core.js,AUDIT_INVENTORY,MVPQAIC_P4O_auditTarget_,PUBLIC,AUDIT_REGISTRY,P1,AUDIT_INVENTORY mvpqaic_42_response_intake_consolidation_audit_core.js MVPQAIC_P4O_auditTarget_ function_line 258
FUNCTION_INDEX,mvpqaic_42_response_intake_consolidation_audit_core.js,AUDIT_INVENTORY,MVPQAIC_P4O_buildPlanRows_,PUBLIC,AUDIT_REGISTRY,P1,AUDIT_INVENTORY mvpqaic_42_response_intake_consolidation_audit_core.js MVPQAIC_P4O_buildPlanRows_ function_line 299
FUNCTION_INDEX,mvpqaic_42_response_intake_consolidation_audit_core.js,AUDIT_INVENTORY,row,INTERNAL,AUDIT_REGISTRY,P1,AUDIT_INVENTORY mvpqaic_42_response_intake_consolidation_audit_core.js row function_line 303
FUNCTION_INDEX,mvpqaic_42_response_intake_consolidation_audit_core.js,AUDIT_INVENTORY,MVPQAIC_P4O_findSheet_,PUBLIC,AUDIT_REGISTRY,P1,AUDIT_INVENTORY mvpqaic_42_response_intake_consolidation_audit_core.js MVPQAIC_P4O_findSheet_ function_line 336
FUNCTION_INDEX,mvpqaic_42_response_intake_consolidation_audit_core.js,AUDIT_INVENTORY,MVPQAIC_P4O_readHeaderTable_,PUBLIC,AUDIT_REGISTRY,P1,AUDIT_INVENTORY mvpqaic_42_response_intake_consolidation_audit_core.js MVPQAIC_P4O_readHeaderTable_ function_line 364
FUNCTION_INDEX,mvpqaic_42_response_intake_consolidation_audit_core.js,AUDIT_INVENTORY,MVPQAIC_P4O_emptyTable_,PUBLIC,AUDIT_REGISTRY,P1,AUDIT_INVENTORY mvpqaic_42_response_intake_consolidation_audit_core.js MVPQAIC_P4O_emptyTable_ function_line 404
FUNCTION_INDEX,mvpqaic_42_response_intake_consolidation_audit_core.js,AUDIT_INVENTORY,MVPQAIC_P4O_summary_,PUBLIC,AUDIT_REGISTRY,P1,AUDIT_INVENTORY mvpqaic_42_response_intake_consolidation_audit_core.js MVPQAIC_P4O_summary_ function_line 408
