source_file,source_row,source_kind,name,score,matched_keywords,summary
P165_R3_PROMPT_ENGINE_RECOVERY.csv,1944,PROMPT_ENGINE_OR_PROMPT_SOURCE,UNKNOWN_SOURCE,190,prompt|gpt|review|risk,"record_type=RISK_HIT | script_file_name=mvpqaic_23_gpt_response_intake_core.js | module_family=QAIC_BRIDGE | functional_role=PROMPT_OR_AI | migration_priority=P0 | evidence_text=QAIC_BRIDGE mvpqaic_23_gpt_response_intake_core.js risk_line_text sheet.getRange(rawRow, INTAKE_VALUE_COL, rowsToClear, 1).clearContent().clearDataValidations(); Review required befo"
P165_R3_PROMPT_ENGINE_RECOVERY.csv,1945,PROMPT_ENGINE_OR_PROMPT_SOURCE,UNKNOWN_SOURCE,190,prompt|gpt|review|risk,record_type=RISK_HIT | script_file_name=mvpqaic_23_gpt_response_intake_core.js | module_family=QAIC_BRIDGE | functional_role=PROMPT_OR_AI | migration_priority=P0 | evidence_text=QAIC_BRIDGE mvpqaic_23_gpt_response_intake_core.js risk_line_text // Clear stale strict validations on writable key-value cells before setValue to avoid Review required before cleanu
P165_R3_PROMPT_ENGINE_RECOVERY.csv,1946,PROMPT_ENGINE_OR_PROMPT_SOURCE,UNKNOWN_SOURCE,190,prompt|gpt|review|risk,record_type=RISK_HIT | script_file_name=mvpqaic_23_gpt_response_intake_core.js | module_family=QAIC_BRIDGE | functional_role=PROMPT_OR_AI | migration_priority=P0 | evidence_text=QAIC_BRIDGE mvpqaic_23_gpt_response_intake_core.js risk_line_text cell.setValue(value === null || value === undefined ? '' : value); Review required before cleanup/delete.
P165_R3_PROMPT_ENGINE_RECOVERY.csv,1947,PROMPT_ENGINE_OR_PROMPT_SOURCE,UNKNOWN_SOURCE,190,prompt|gpt|review|risk,"record_type=RISK_HIT | script_file_name=mvpqaic_23_gpt_response_intake_core.js | module_family=QAIC_BRIDGE | functional_role=PROMPT_OR_AI | migration_priority=P0 | evidence_text=QAIC_BRIDGE mvpqaic_23_gpt_response_intake_core.js risk_line_text sh.getRange(1, 1, 4, 8).setValues(banner); Review required before cleanup/delete."
P165_R3_PROMPT_ENGINE_RECOVERY.csv,1948,PROMPT_ENGINE_OR_PROMPT_SOURCE,UNKNOWN_SOURCE,190,prompt|gpt|review|risk,"record_type=RISK_HIT | script_file_name=mvpqaic_23_gpt_response_intake_core.js | module_family=QAIC_BRIDGE | functional_role=PROMPT_OR_AI | migration_priority=P0 | evidence_text=QAIC_BRIDGE mvpqaic_23_gpt_response_intake_core.js risk_line_text sh.getRange(headerRow, 1, Math.max(1, sh.getMaxRows() - headerRow + 1), cols).clearContent(); Review required before"
P165_R3_PROMPT_ENGINE_RECOVERY.csv,1949,PROMPT_ENGINE_OR_PROMPT_SOURCE,UNKNOWN_SOURCE,190,prompt|gpt|review|risk,"record_type=RISK_HIT | script_file_name=mvpqaic_23_gpt_response_intake_core.js | module_family=QAIC_BRIDGE | functional_role=PROMPT_OR_AI | migration_priority=P0 | evidence_text=QAIC_BRIDGE mvpqaic_23_gpt_response_intake_core.js risk_line_text sh.getRange(headerRow, 1, writeRows.length, cols).setValues(writeRows); Review required before cleanup/delete."
P165_R3_PROMPT_ENGINE_RECOVERY.csv,1951,PROMPT_ENGINE_OR_PROMPT_SOURCE,UNKNOWN_SOURCE,190,prompt|gpt|review|risk,"record_type=RISK_HIT | script_file_name=mvpqaic_23_gpt_response_intake_core.js | module_family=QAIC_BRIDGE | functional_role=PROMPT_OR_AI | migration_priority=P0 | evidence_text=QAIC_BRIDGE mvpqaic_23_gpt_response_intake_core.js risk_line_text sh.getRange(1, 1, 4, headers.length).setValues(banner); Review required before cleanup/delete."
P165_R3_PROMPT_ENGINE_RECOVERY.csv,1952,PROMPT_ENGINE_OR_PROMPT_SOURCE,UNKNOWN_SOURCE,190,prompt|gpt|review|risk,"record_type=RISK_HIT | script_file_name=mvpqaic_23_gpt_response_intake_core.js | module_family=QAIC_BRIDGE | functional_role=PROMPT_OR_AI | migration_priority=P0 | evidence_text=QAIC_BRIDGE mvpqaic_23_gpt_response_intake_core.js risk_line_text sh.getRange(5, 1, 1, headers.length).setValues([headers]); Review required before cleanup/delete."
P165_R3_PROMPT_ENGINE_RECOVERY.csv,1953,PROMPT_ENGINE_OR_PROMPT_SOURCE,UNKNOWN_SOURCE,190,prompt|gpt|review|risk,"record_type=RISK_HIT | script_file_name=mvpqaic_23_gpt_response_intake_core.js | module_family=QAIC_BRIDGE | functional_role=PROMPT_OR_AI | migration_priority=P0 | evidence_text=QAIC_BRIDGE mvpqaic_23_gpt_response_intake_core.js risk_line_text sh.getRange(row, h.map.next_prompt_draft + 1).setValue(draftText).setWrapStrategy(SpreadsheetApp.WrapStrategy.CLIP);"
P165_R3_PROMPT_ENGINE_RECOVERY.csv,1954,PROMPT_ENGINE_OR_PROMPT_SOURCE,UNKNOWN_SOURCE,190,prompt|gpt|review|risk,"record_type=RISK_HIT | script_file_name=mvpqaic_23_gpt_response_intake_core.js | module_family=QAIC_BRIDGE | functional_role=PROMPT_OR_AI | migration_priority=P0 | evidence_text=QAIC_BRIDGE mvpqaic_23_gpt_response_intake_core.js risk_line_text sh.getRange(i + 1, 3).setValue(value); Review required before cleanup/delete."
P165_R3_PROMPT_ENGINE_RECOVERY.csv,1955,PROMPT_ENGINE_OR_PROMPT_SOURCE,UNKNOWN_SOURCE,190,prompt|gpt|review|risk,"record_type=RISK_HIT | script_file_name=mvpqaic_23_gpt_response_intake_core.js | module_family=QAIC_BRIDGE | functional_role=PROMPT_OR_AI | migration_priority=P0 | evidence_text=QAIC_BRIDGE mvpqaic_23_gpt_response_intake_core.js risk_line_text if (col) queue.getRange(row, col).setValue(value); Review required before cleanup/delete."
P165_R3_PROMPT_ENGINE_RECOVERY.csv,1956,PROMPT_ENGINE_OR_PROMPT_SOURCE,UNKNOWN_SOURCE,190,prompt|gpt|review|risk,"record_type=RISK_HIT | script_file_name=mvpqaic_23_gpt_response_intake_core.js | module_family=QAIC_BRIDGE | functional_role=PROMPT_OR_AI | migration_priority=P0 | evidence_text=QAIC_BRIDGE mvpqaic_23_gpt_response_intake_core.js risk_line_text sheet.getRange(headerRow, headers.length + 1, 1, missing.length).setValues([missing]); Review required before cleanu"
P165_R3_PROMPT_ENGINE_RECOVERY.csv,1957,PROMPT_ENGINE_OR_PROMPT_SOURCE,UNKNOWN_SOURCE,190,prompt|gpt|review|risk,"record_type=RISK_HIT | script_file_name=mvpqaic_23_gpt_response_intake_core.js | module_family=QAIC_BRIDGE | functional_role=PROMPT_OR_AI | migration_priority=P0 | evidence_text=QAIC_BRIDGE mvpqaic_23_gpt_response_intake_core.js risk_line_text sheet.getRange(startRow, 1, appendRows.length, 5).setValues(appendRows); Review required before cleanup/delete."
P165_R3_PROMPT_ENGINE_RECOVERY.csv,1958,PROMPT_ENGINE_OR_PROMPT_SOURCE,UNKNOWN_SOURCE,190,prompt|gpt|review|risk,record_type=RISK_HIT | script_file_name=mvpqaic_23_gpt_response_intake_core.js | module_family=QAIC_BRIDGE | functional_role=PROMPT_OR_AI | migration_priority=P0 | evidence_text=QAIC_BRIDGE mvpqaic_23_gpt_response_intake_core.js risk_line_text cell.setValue(value === null || value === undefined ? '' : value); Review required before cleanup/delete.
P165_R3_PROMPT_ENGINE_RECOVERY.csv,1959,PROMPT_ENGINE_OR_PROMPT_SOURCE,UNKNOWN_SOURCE,190,prompt|gpt|review|risk,record_type=RISK_HIT | script_file_name=mvpqaic_23_gpt_response_intake_core.js | module_family=QAIC_BRIDGE | functional_role=PROMPT_OR_AI | migration_priority=P0 | evidence_text=QAIC_BRIDGE mvpqaic_23_gpt_response_intake_core.js risk_line_text sheet.clear(); Review required before cleanup/delete.
P165_R3_PROMPT_ENGINE_RECOVERY.csv,1960,PROMPT_ENGINE_OR_PROMPT_SOURCE,UNKNOWN_SOURCE,190,prompt|gpt|review|risk,"record_type=RISK_HIT | script_file_name=mvpqaic_23_gpt_response_intake_core.js | module_family=QAIC_BRIDGE | functional_role=PROMPT_OR_AI | migration_priority=P0 | evidence_text=QAIC_BRIDGE mvpqaic_23_gpt_response_intake_core.js risk_line_text sheet.getRange(1, 1, 1, width).setValues([headers]); Review required before cleanup/delete."
P165_R3_PROMPT_ENGINE_RECOVERY.csv,1961,PROMPT_ENGINE_OR_PROMPT_SOURCE,UNKNOWN_SOURCE,190,prompt|gpt|review|risk,"record_type=RISK_HIT | script_file_name=mvpqaic_23_gpt_response_intake_core.js | module_family=QAIC_BRIDGE | functional_role=PROMPT_OR_AI | migration_priority=P0 | evidence_text=QAIC_BRIDGE mvpqaic_23_gpt_response_intake_core.js risk_line_text if (values.length) sheet.getRange(2, 1, values.length, width).setValues(values); Review required before cleanup/dele"
