"item_id","root_id","relative_path","filename","doc_class","proposed_action","legitimacy_status","freshness_status","archive_allowed"
"ITEM-003427","ROOT_02_MVP_QAIC_MAIN_FOLDER","02_BUILD\LEXIQUE_READER_MVP\P27A2D_DIRECT_20260618_125004_ASSETS_VISUAL_INTEGRATED_UX_PROTOTYPE\P27A2B_VALIDATION.json","P27A2B_VALIDATION.json","DOC_SOURCE_TO_COMPARE","REVIEW_COMPARE","REVIEW_REQUIRED","CURRENT_OR_RECENT","NO_P203B1_GATE_ONLY"
"ITEM-003428","ROOT_02_MVP_QAIC_MAIN_FOLDER","02_BUILD\LEXIQUE_READER_MVP\P27A2D_DIRECT_20260618_125004_ASSETS_VISUAL_INTEGRATED_UX_PROTOTYPE\P27A2C_VALIDATION.json","P27A2C_VALIDATION.json","DOC_SOURCE_TO_COMPARE","REVIEW_COMPARE","REVIEW_REQUIRED","CURRENT_OR_RECENT","NO_P203B1_GATE_ONLY"
"ITEM-003429","ROOT_02_MVP_QAIC_MAIN_FOLDER","02_BUILD\LEXIQUE_READER_MVP\P27A2D_DIRECT_20260618_125004_ASSETS_VISUAL_INTEGRATED_UX_PROTOTYPE\P27A2C_RECOVERY_ZIP_SUMMARY.json","P27A2C_RECOVERY_ZIP_SUMMARY.json","DOC_SOURCE_TO_COMPARE","REVIEW_COMPARE","REVIEW_REQUIRED","CURRENT_OR_RECENT","NO_P203B1_GATE_ONLY"
"ITEM-003430","ROOT_02_MVP_QAIC_MAIN_FOLDER","02_BUILD\LEXIQUE_READER_MVP\P27A2D_DIRECT_20260618_125004_ASSETS_VISUAL_INTEGRATED_UX_PROTOTYPE\P27A2C_RECOVERY_DOTNET_ZIP_SUMMARY.json","P27A2C_RECOVERY_DOTNET_ZIP_SUMMARY.json","DOC_SOURCE_TO_COMPARE","REVIEW_COMPARE","REVIEW_REQUIRED","CURRENT_OR_RECENT","NO_P203B1_GATE_ONLY"
"ITEM-003431","ROOT_02_MVP_QAIC_MAIN_FOLDER","02_BUILD\LEXIQUE_READER_MVP\P27A2D_DIRECT_20260618_125004_ASSETS_VISUAL_INTEGRATED_UX_PROTOTYPE\P27A2D_DIRECT_VALIDATION.json","P27A2D_DIRECT_VALIDATION.json","DOC_SOURCE_TO_COMPARE","REVIEW_COMPARE","REVIEW_REQUIRED","CURRENT_OR_RECENT","NO_P203B1_GATE_ONLY"
"ITEM-003432","ROOT_02_MVP_QAIC_MAIN_FOLDER","02_BUILD\LEXIQUE_READER_MVP\P27A2D_DIRECT_20260618_125004_ASSETS_VISUAL_INTEGRATED_UX_PROTOTYPE\P27A2D_DIRECT_SUMMARY.json","P27A2D_DIRECT_SUMMARY.json","DOC_SOURCE_TO_COMPARE","REVIEW_COMPARE","REVIEW_REQUIRED","CURRENT_OR_RECENT","NO_P203B1_GATE_ONLY"
"ITEM-003433","ROOT_02_MVP_QAIC_MAIN_FOLDER","02_BUILD\LEXIQUE_READER_MVP\P27A2D_DIRECT_20260618_125004_ASSETS_VISUAL_INTEGRATED_UX_PROTOTYPE\assets\ui\app.js","app.js","SCRIPT_OR_UI_SOURCE_TO_CLASSIFY","REVIEW_COMPARE","REVIEW_REQUIRED","CURRENT_OR_RECENT","NO_P203B1_GATE_ONLY"
"ITEM-003434","ROOT_02_MVP_QAIC_MAIN_FOLDER","02_BUILD\LEXIQUE_READER_MVP\P27A2D_DIRECT_20260618_125004_ASSETS_VISUAL_INTEGRATED_UX_PROTOTYPE\assets\ui\style.css","style.css","SCRIPT_OR_UI_SOURCE_TO_CLASSIFY","REVIEW_COMPARE","REVIEW_REQUIRED","CURRENT_OR_RECENT","NO_P203B1_GATE_ONLY"
"ITEM-003435","ROOT_02_MVP_QAIC_MAIN_FOLDER","02_BUILD\LEXIQUE_READER_MVP\P27A2D_DIRECT_20260618_125004_ASSETS_VISUAL_INTEGRATED_UX_PROTOTYPE\data\menu.json","menu.json","DOC_SOURCE_TO_COMPARE","REVIEW_COMPARE","REVIEW_REQUIRED","CURRENT_OR_RECENT","NO_P203B1_GATE_ONLY"
"ITEM-003436","ROOT_02_MVP_QAIC_MAIN_FOLDER","02_BUILD\LEXIQUE_READER_MVP\P27A2D_DIRECT_20260618_125004_ASSETS_VISUAL_INTEGRATED_UX_PROTOTYPE\data\sample_lexique.json","sample_lexique.json","DOC_SOURCE_TO_COMPARE","REVIEW_COMPARE","REVIEW_REQUIRED","CURRENT_OR_RECENT","NO_P203B1_GATE_ONLY"
